"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB"
"Tuesday August 3","ALFA-DAXRPT-COPY","324.80","1","HD#1: 650 GB","650"
"Tuesday August 3","Jump-server-Abdo","160.08","1","HD#1: 500 GB","500"
"Tuesday August 3","Mis-SAP-H-DB","1592.70","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4"
"Tuesday August 3","MISR-TSMS","54.91","1","HD#1: 60 GB","60"
"Tuesday August 3","Jump-Server-Moataz","27.45","1","HD#1: 100 GB","100"
"Tuesday August 3","Mis-Prod-APP-copy","440.73","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048"
"Tuesday August 3","Misr-ERPPRDDB","2362.17","1","HD#1: 3072 GB","3072"
"Tuesday August 3","RADUIS-Server","28.50","1","HD#1: 100 GB","100"
"Tuesday August 3","Mis-CAR-PRD APP Server","95.96","1","HD#1: 2048 GB","2048"
"Tuesday August 3","frank-d35","4234.13","5","HD#1: 200 GB, HD#2: 2048 GB, HD#3: 2048 GB, HD#4: 2048 GB, HD#5: 2048 GB","8392"
"Tuesday August 3","sofos_virtual_vm8","4.01","2","HD#1: 16 GB, HD#2: 80 GB","96"
"Tuesday August 3","el batal crm","132.90","1","HD#1: 340 GB","340"
"Tuesday August 3","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299"
"Tuesday August 3","Mis-Manage","59.42","2","HD#1: 50 GB, HD#2: 500 GB","550"
"Tuesday August 3","MIS-CRM-PRD APP Server","426.24","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000"
"Tuesday August 3","VMware vCenter Server Appliance 6.7-Witness","31.13","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66"
"Tuesday August 3","centos-kibana","14.16","1","HD#1: 500 GB","500"
"Tuesday August 3","EU1FE3113","221.76","1","HD#1: 500 GB","500"
"Tuesday August 3","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300"
"Tuesday August 3","EU1FE9333","166.91","2","HD#1: 500 GB, HD#2: 500 GB","1000"
"Tuesday August 3","Frank-ADC-02","38.21","1","HD#1: 100 GB","100"
"Tuesday August 3","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200"
"Tuesday August 3","tiba group","27.52","1","HD#1: 500 GB","500"
"Tuesday August 3","EU1FE3110","184.88","1","HD#1: 500 GB","500"
"Tuesday August 3","frank-veeamone","43.55","1","HD#1: 200 GB","200"
"Tuesday August 3","Jump-Nada","41.90","1","HD#1: 200 GB","200"
"Tuesday August 3","Jump-Server-MAli","34.83","1","HD#1: 100 GB","100"
"Tuesday August 3","temp-v","200.00","1","HD#1: 200 GB","200"
"Tuesday August 3","Frank-KSE-SQL","65.47","1","HD#1: 250 GB","250"
"Tuesday August 3","shared iso","13.52","1","HD#1: 300 GB","300"
"Tuesday August 3","Jump-Server-Karim","179.12","1","HD#1: 700 GB","700"
"Tuesday August 3","Misr-e-commerce","158.09","1","HD#1: 150 GB","150"
"Tuesday August 3","EU1FE9111","159.68","2","HD#1: 500 GB, HD#2: 500 GB","1000"
"Tuesday August 3","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810"
"Tuesday August 3","Developers-VM6-Copy","32.71","1","HD#1: 500 GB","500"
"Tuesday August 3","EU1FE9444","172.54","2","HD#1: 500 GB, HD#2: 500 GB","1000"
"Tuesday August 3","Frank-PST-New01","6660.97","3","HD#1: 150 GB, HD#2: 2048 GB, HD#3: 5120 GB","7318"
"Tuesday August 3","EU1FE3111","186.60","1","HD#1: 500 GB","500"
"Tuesday August 3","MISR-IVENDMC2","59.10","1","HD#1: 100 GB","100"
"Tuesday August 3","vcenter-clone","183.25","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66"
"Tuesday August 3","jump-hamd","17.44","1","HD#1: 300 GB","300"
"Tuesday August 3","jump-wahba","35.75","1","HD#1: 100 GB","100"
"Tuesday August 3","jump-eslam","66.85","1","HD#1: 300 GB","300"
"Tuesday August 3","EventLog-Analyzer","29.23","1","HD#1: 500 GB","500"
"Tuesday August 3","Mis-ERP DEV-PRD APP Server","765.36","2","HD#1: 100 GB, HD#2: 1900 GB","2000"
"Tuesday August 3","Sama","20.68","1","HD#1: 200 GB","200"
"Tuesday August 3","Frank-ADC-03","38.46","1","HD#1: 100 GB","100"
"Tuesday August 3","MIS-CRM-PRD DB Server","627.77","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1700 GB","2000"
"Tuesday August 3","nextcloud-nfs","4.29","1","HD#1: 500 GB","500"
"Tuesday August 3","Misr-Web Server-copy","50.71","1","HD#1: 80 GB","80"
"Tuesday August 3","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500"
"Tuesday August 3","jump-gabr","216.09","1","HD#1: 200 GB","200"
"Tuesday August 3","infected ihpgco Kuwait Windows (ransomware)","69.67","1","HD#1: 250 GB","250"
"Tuesday August 3","MISR-CARQASAPP","198.76","1","HD#1: 1024 GB","1024"
"Tuesday August 3","jump-solex","100.72","1","HD#1: 200 GB","200"
"Tuesday August 3","Frank-MBX","75.80","1","HD#1: 100 GB","100"
"Tuesday August 3","Misr-Newvm","46.79","1","HD#1: 100 GB","100"
"Tuesday August 3","Misr-SQL-Instance","809.53","1","HD#1: 1024 GB","1024"
"Tuesday August 3","Office Libre-Production New 1104","34.13","1","HD#1: 160 GB","160"
"Tuesday August 3","Mis-Backup","2373.04","2","HD#1: 60 GB, HD#2: 3072 GB","3132"
"Tuesday August 3","esxi2","58.94","1","HD#1: 1000 GB","1000"
"Tuesday August 3","FortiGate","32.00","2","HD#1: 2 GB, HD#2: 30 GB","32"
"Tuesday August 3","WP-Syslog-New","36.96","1","HD#1: 1024 GB","1024"
"Tuesday August 3","Identity Server-Dev","25.64","1","HD#1: 100 GB","100"
"Tuesday August 3","Real-ip","13.79","1","HD#1: 100 GB","100"
"Tuesday August 3","Frank-RODC-01","42.99","1","HD#1: 100 GB","100"
"Tuesday August 3","SQL-Server-Solid","211.73","2","HD#1: 450 GB, HD#2: 300 GB","750"
"Tuesday August 3","J-S-Hamd","10.41","1","HD#1: 100 GB","100"
"Tuesday August 3","HAProxy","7.84","1","HD#1: 300 GB","300"
"Tuesday August 3","EU100S602","47.79","1","HD#1: 200 GB","200"
"Tuesday August 3","sandbox","19.93","1","HD#1: 300 GB","300"
"Tuesday August 3","Mis-Winsows2012R2","864.87","4","HD#1: 150 GB, HD#2: 200 GB, HD#3: 700 GB, HD#4: 2048 GB","3098"
"Tuesday August 3","WP-Frank-Database3","400.00","1","HD#1: 400 GB","400"
"Tuesday August 3","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500"
"Tuesday August 3","MISR-SAP-CARDB-copy","887.32","1","HD#1: 2048 GB","2048"
"Tuesday August 3","ihpgco Kuwait Windows - Backup(new)","162.95","1","HD#1: 250 GB","250"
"Tuesday August 3","SolarWind-SAM","127.75","2","HD#1: 100 GB, HD#2: 200 GB","300"
"Tuesday August 3","jump-ahmed","33.50","1","HD#1: 400 GB","400"
"Tuesday August 3","Misr-ERPDEVDB","1492.22","1","HD#1: 2355.20 GB","2355.2"
"Tuesday August 3","Frank-ADC-01","38.58","1","HD#1: 100 GB","100"
"Tuesday August 3","Misr-Tableau","126.19","1","HD#1: 150 GB","150"
"Tuesday August 3","WP-RootCA","61.27","1","HD#1: 100 GB","100"
"Tuesday August 3","MISR-NFS","11735.05","2","HD#1: 50 GB, HD#2: 13312 GB","13362"
"Tuesday August 3","Frank-DNS-MGMNT","50.64","2","HD#1: 100 GB, HD#2: 50 GB","150"
"Tuesday August 3","Mis-Additioanal Domain","23.48","1","HD#1: 50 GB","50"
"Tuesday August 3","Misr-Qatr","185.75","1","HD#1: 500 GB","500"
"Tuesday August 3","Frank-Kbase-Source","297.38","2","HD#1: 100 GB, HD#2: 1024 GB","1124"
"Tuesday August 3","wp-frank-antivirus (DB)-cpoy","146.37","1","HD#1: 400 GB","400"
"Tuesday August 3","Misr-MTBIDEVAPP","216.65","2","HD#1: 500 GB, HD#2: 10 GB","510"
"Tuesday August 3","Frank-MBM-D36","1271.39","3","HD#1: 200 GB, HD#2: 2048 GB, HD#3: 2048 GB","4296"
"Tuesday August 3","esxi1","29.32","1","HD#1: 400 GB","400"
"Tuesday August 3","Frank-tools01.Roaya.loc_replica","70.95","1","HD#1: 500.00 GB","500"
"Tuesday August 3","Frank-OfficeOnline01","145.16","1","HD#1: 100 GB","100"
"Tuesday August 3","WP-Messanger-Centos .73-copy","23.68","1","HD#1: 1024 GB","1024"
"Tuesday August 3","J-S-Peter","116.09","1","HD#1: 100 GB","100"
"Tuesday August 3","MISR-SAP-CARAPP","116.56","1","HD#1: 2048 GB","2048"
"Tuesday August 3","SQL-Server-Solid2","218.01","2","HD#1: 400 GB, HD#2: 300 GB","700"
"Tuesday August 3","Frank-OfficeOnline02","104.94","1","HD#1: 100 GB","100"
"Tuesday August 3","Frank-Wsus-new","318.33","2","HD#1: 80 GB, HD#2: 500 GB","580"
"Tuesday August 3","Frank-EventLog","3092.60","1","HD#1: 4024 GB","4024"
"Tuesday August 3","DAXRDS-yhsv-Copy","142.85","1","HD#1: 250 GB","250"
"Tuesday August 3","Mis-Solman Server","627.00","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1800 GB","2100"
"Tuesday August 3","Misr-CARPRDAPP","974.11","2","HD#1: 10 GB, HD#2: 800 GB","810"
"Tuesday August 3","EU1FE3112","191.99","1","HD#1: 500 GB","500"
"Tuesday August 3","EU1FE9222","675.06","2","HD#1: 500 GB, HD#2: 500 GB","1000"
"Tuesday August 3","Misr-ENTERPRISESRV","1074.12","1","HD#1: 1024 GB","1024"
"Tuesday August 3","Frank-Trend2019-DEV","47.08","1","HD#1: 500 GB","500"
"Tuesday August 3","EU1OOS601","27.39","1","HD#1: 200 GB","200"
"Tuesday August 3","next-cloud-NFS-server","56.93","1","HD#1: 500 GB","500"
"Tuesday August 3","Mis-CAR-PRD DB Server","1152.56","1","HD#1: 2048 GB","2048"
"Tuesday August 3","PowerEye","27.53","1","HD#1: 100 GB","100"
"Tuesday August 3","centos-block-storage","14354.21","2","HD#1: 500 GB, HD#2: 14336 GB","14836"
"Tuesday August 3","MISR-MTBIDEVDB","1736.65","2","HD#1: 1300 GB, HD#2: 10 GB","1310"
"Tuesday August 3","vROps-Tenant-App-for-vCD-2.3.0.33067-14826907","20.59","3","HD#1: 12 GB, HD#2: 60 GB, HD#3: 15 GB","87"
"Tuesday August 3","MISR-CARQASDB","795.25","1","HD#1: 2048 GB","2048"
"Tuesday August 3","Frank-ADC-04","39.28","1","HD#1: 100 GB","100"
"Tuesday August 3","Mis-ERP DEV-PRD DB Server","740.80","3","HD#1: 150 GB, HD#2: 200 GB, HD#3: 2048 GB","2398"
"Tuesday August 3","Misr-ERPQASDB","3629.91","1","HD#1: 3072 GB","3072"
"Tuesday August 3","Misr-PIPRD","2070.11","2","HD#1: 10 GB, HD#2: 1900 GB","1910"
"Tuesday August 3","WP-OdOO","14.77","1","HD#1: 200 GB","200"
"Tuesday August 3","VMware vCenter Server Appliance 6.7-Passive","333.34","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66"
"Tuesday August 3","Frank-OpenManage_Integration","85.98","1","HD#1: 85.98 GB","85.98"
"Tuesday August 3","Frank-SQL-2019","408.09","1","HD#1: 400 GB","400"
"Tuesday August 3","copy-DeepSecurity","150.00","1","HD#1: 150 GB","150"
"Tuesday August 3","Diyaa-LAB","666.09","1","HD#1: 650 GB","650"
"Tuesday August 3","replaymanager","240.10","3","HD#1: 40 GB, HD#2: 200 GB, HD#3: 300 GB","540"
"Tuesday August 3","Jump-Server-Tawfik","77.99","1","HD#1: 100 GB","100"
"Tuesday August 3","Frank-DC01","168.29","1","HD#1: 140 GB","140"
"Tuesday August 3","EX-04","728.10","1","HD#1: 600 GB","600"
"Tuesday August 3","Frank-DC02","172.09","1","HD#1: 140 GB","140"
"Tuesday August 3","Exchange-DEV","520.19","2","HD#1: 500 GB, HD#2: 150 GB","650"
"Tuesday August 3","Misr-Router-02","43.82","1","HD#1: 60 GB","60"
"Tuesday August 3","VMware vCenter Server Appliance 6.7","45.37","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66"
"Tuesday August 3","VMware-NSX-Manager","60.09","1","HD#1: 60 GB","60"
"Tuesday August 3","Mis-CRM QAS & Dev DB Server","594.20","1","HD#1: 2048 GB","2048"
"Tuesday August 3","VMware_vCloud_Director-10.0.0.4649-15450333","210.46","3","HD#1: 30 GB, HD#2: 2 GB, HD#3: 80 GB","112"
"Tuesday August 3","Misr-Router-01","76.09","1","HD#1: 60 GB","60"
"Tuesday August 3","Elbassiouni WebSite Production","122.92","1","HD#1: 100 GB","100"
"Tuesday August 3","md-masterbatch-website","42.55","1","HD#1: 100 GB","100"
"Tuesday August 3","joy&roy","45.83","1","HD#1: 220 GB","220"
"Tuesday August 3","elbassiony-Copy","475.08","2","HD#1: 200 GB, HD#2: 200 GB","400"
"Tuesday August 3","Ceramica-Cleoptra","74.28","1","HD#1: 180 GB","180"
"Tuesday August 3","Frank-IMSVA-Child-01","600.43","1","HD#1: 500 GB","500"
"Tuesday August 3","WorldPosta Website 02","316.09","1","HD#1: 300 GB","300"
"Tuesday August 3","MyCloud-AppLaunchPad","23.85","1","HD#1: 100 GB","100"
"Tuesday August 3","Router-01","180.10","1","HD#1: 150 GB","150"
"Tuesday August 3","Frank-IMSVA-Child-03","579.38","1","HD#1: 500 GB","500"
"Tuesday August 3","ubuntu-dev","25.59","1","HD#1: 200 GB","200"
"Tuesday August 3","WorldPosta WebSite","57.23","1","HD#1: 300 GB","300"
"Tuesday August 3","Router-02","37.83","1","HD#1: 150 GB","150"
"Tuesday August 3","Frank-NSX-Controller-01-NSX-controller-1","28.09","1","HD#1: 28 GB","28"
"Tuesday August 3","Frank-IMSVA-Child-04","563.38","1","HD#1: 500 GB","500"
"Tuesday August 3","MinIO","130.59","1","HD#1: 1024 GB","1024"
"Tuesday August 3","Frank-PA-02","140.10","1","HD#1: 100 GB","100"
"Tuesday August 3","NextCloud 31-1-2021","516.09","1","HD#1: 500 GB","500"
"Tuesday August 3","dev-ubuntu-21","27.95","1","HD#1: 500 GB","500"
"Tuesday August 3","Gabr-Kali-Server","200.00","1","HD#1: 200 GB","200"
"Tuesday August 3","Frank-IMSVA-Child-02","603.85","1","HD#1: 500 GB","500"
"Tuesday August 3","centos-Backup-vcenter","35.74","1","HD#1: 500 GB","500"
"Tuesday August 3","DSITV-06.00.00.165","18.08","1","HD#1: 10 GB","10"
"Tuesday August 3","WP-Coturn-Videostreaming","16.12","1","HD#1: 160 GB","160"
"Tuesday August 3","MyCloud-AMQP","22.52","1","HD#1: 100 GB","100"
"Tuesday August 3","Frank-NSX-Controller-03-NSX-controller-3","28.09","1","HD#1: 28 GB","28"
"Tuesday August 3","Frank-NSX-Controller-02-NSX-controller-2","28.09","1","HD#1: 28 GB","28"
