"Name","Path","Description","PSComputerName"
"ADMIN$","C:\Windows","Remote Admin","AWS-FEM-FA1"
"IPC$","","Remote IPC","AWS-FEM-FA1"
"C$","C:\","Default share","AWS-FEM-FA1"
"ADMIN$","C:\Windows","Remote Admin","CP01"
"C$","C:\","Default share","CP01"
"IPC$","","Remote IPC","CP01"
"MSBackup","C:\MSBackup","","CP01"
"Users","C:\Users","","CP01"
"IPC$","","Remote IPC","EU1FE3110"
"C$","C:\","Default share","EU1FE3110"
"ADMIN$","C:\Windows","Remote Admin","EU1FE3110"
"IPC$","","Remote IPC","EU1FE3111"
"C$","C:\","Default share","EU1FE3111"
"ADMIN$","C:\Windows","Remote Admin","EU1FE3111"
"IPC$","","Remote IPC","EU1FE3112"
"C$","C:\","Default share","EU1FE3112"
"ADMIN$","C:\Windows","Remote Admin","EU1FE3112"
"IPC$","","Remote IPC","EU1FE3113"
"C$","C:\","Default share","EU1FE3113"
"ADMIN$","C:\Windows","Remote Admin","EU1FE3113"
"K$","K:\","Default share","EU1MB9903"
"L$","L:\","Default share","EU1MB9903"
"M$","M:\","Default share","EU1MB9903"
"N$","N:\","Default share","EU1MB9903"
"O$","O:\","Default share","EU1MB9903"
"P$","P:\","Default share","EU1MB9903"
"Q$","Q:\","Default share","EU1MB9903"
"R$","R:\","Default share","EU1MB9903"
"Y$","Y:\","Default share","EU1MB9903"
"T$","T:\","Default share","EU1MB9903"
"U$","U:\","Default share","EU1MB9903"
"V$","V:\","Default share","EU1MB9903"
"W$","W:\","Default share","EU1MB9903"
"X$","X:\","Default share","EU1MB9903"
"J$","J:\","Default share","EU1MB9903"
"Z$","Z:\","Default share","EU1MB9903"
"S$","S:\","Default share","EU1MB9903"
"IPC$","","Remote IPC","EU1MB9903"
"I$","I:\","Default share","EU1MB9903"
"G$","G:\","Default share","EU1MB9903"
"F$","F:\","Default share","EU1MB9903"
"E$","E:\","Default share","EU1MB9903"
"D$","D:\","Default share","EU1MB9903"
"C$","C:\","Default share","EU1MB9903"
"B$","B:\","Default share","EU1MB9903"
"ADMIN$","C:\Windows","Remote Admin","EU1MB9903"
"address","C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\address","","EU1MB9903"
"A$","A:\","Default share","EU1MB9903"
"H$","H:\","Default share","EU1MB9903"
"IPC$","","Remote IPC","FRANK-ADC-01"
"NETLOGON","C:\Windows\SYSVOL\sysvol\Roaya.loc\SCRIPTS","Logon server share ","FRANK-ADC-01"
"SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","FRANK-ADC-01"
"ADMIN$","C:\Windows","Remote Admin","FRANK-ADC-01"
"C$","C:\","Default share","FRANK-ADC-01"
"ADMIN$","C:\Windows","Remote Admin","FRANK-ADC-02"
"C$","C:\","Default share","FRANK-ADC-02"
"IPC$","","Remote IPC","FRANK-ADC-02"
"NETLOGON","C:\Windows\SYSVOL\sysvol\Roaya.loc\SCRIPTS","Logon server share ","FRANK-ADC-02"
"SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","FRANK-ADC-02"
"ADMIN$","C:\Windows","Remote Admin","FRANK-ADC-03"
"NETLOGON","C:\Windows\SYSVOL\sysvol\Roaya.loc\SCRIPTS","Logon server share ","FRANK-ADC-03"
"C$","C:\","Default share","FRANK-ADC-03"
"IPC$","","Remote IPC","FRANK-ADC-03"
"SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","FRANK-ADC-03"
"NETLOGON","C:\Windows\SYSVOL\sysvol\Roaya.loc\SCRIPTS","Logon server share ","FRANK-ADC-04"
"IPC$","","Remote IPC","FRANK-ADC-04"
"C$","C:\","Default share","FRANK-ADC-04"
"ADMIN$","C:\Windows","Remote Admin","FRANK-ADC-04"
"SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","FRANK-ADC-04"
"NETLOGON","C:\Windows\SYSVOL\sysvol\Roaya.loc\SCRIPTS","Logon server share ","FRANK-D02"
"IPC$","","Remote IPC","FRANK-D02"
"ADMIN$","C:\Windows","Remote Admin","FRANK-D02"
"SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","FRANK-D02"
"C$","C:\","Default share","FRANK-D02"
"ADMIN$","C:\Windows","Remote Admin","FRANK-DC01"
"C$","C:\","Default share","FRANK-DC01"
"2013.roaya.loc","C:\dag2013","File share witness created for microsoft exchange database availability group 2013.","FRANK-DC01"
"cortex","C:\cortex","","FRANK-DC01"
"dag2013","C:\dag2013","","FRANK-DC01"
"IPC$","","Remote IPC","FRANK-DC01"
"NETLOGON","C:\Windows\SYSVOL\sysvol\Roaya.loc\SCRIPTS","Logon server share ","FRANK-DC01"
"SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","FRANK-DC01"
"C$","C:\","Default share","FRANK-EVENTLOG"
"ADMIN$","C:\Windows","Remote Admin","FRANK-EVENTLOG"
"IPC$","","Remote IPC","FRANK-EVENTLOG"
"IPC$","","Remote IPC","FRANK-EX1-X04"
"D$","D:\","Default share","FRANK-EX1-X04"
"C$","C:\","Default share","FRANK-EX1-X04"
"ADMIN$","C:\Windows","Remote Admin","FRANK-EX1-X04"
"address","C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\address","","FRANK-EX1-X04"
"MU_EXCHANGE_SERVER_2019_CUMULAT","C:\MU_EXCHANGE_SERVER_2019_CUMULAT","","FRANK-EX1-X04"
"E$","E:\","Default share","FRANK-EX-DEV"
"IPC$","","Remote IPC","FRANK-EX-DEV"
"DEV","E:\DEV","","FRANK-EX-DEV"
"C$","C:\","Default share","FRANK-EX-DEV"
"ADMIN$","C:\Windows","Remote Admin","FRANK-EX-DEV"
"address","C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\address","","FRANK-EX-DEV"
"ADMIN$","C:\Windows","Remote Admin","FRANK-FEM-F01"
"C$","C:\","Default share","FRANK-FEM-F01"
"IPC$","","Remote IPC","FRANK-FEM-F01"
"IPC$","","Remote IPC","FRANK-FEM-F02"
"ADMIN$","C:\Windows","Remote Admin","FRANK-FEM-F02"
"C$","C:\","Default share","FRANK-FEM-F02"
"E$","E:\","Default share","FRANK-FEM-F03"
"ADMIN$","C:\Windows","Remote Admin","FRANK-FEM-F03"
"IPC$","","Remote IPC","FRANK-FEM-F03"
"C$","C:\","Default share","FRANK-FEM-F03"
"IPC$","","Remote IPC","FRANK-FEM-F04"
"E$","E:\","Default share","FRANK-FEM-F04"
"C$","C:\","Default share","FRANK-FEM-F04"
"ADMIN$","C:\Windows","Remote Admin","FRANK-FEM-F04"
"ADMIN$","C:\Windows","Remote Admin","FRANK-FEM-F05"
"IPC$","","Remote IPC","FRANK-FEM-F05"
"C$","C:\","Default share","FRANK-FEM-F05"
"IPC$","","Remote IPC","FRANK-KBASE-01"
"D$","D:\","Default share","FRANK-KBASE-01"
"C$","C:\","Default share","FRANK-KBASE-01"
"ADMIN$","C:\Windows","Remote Admin","FRANK-KBASE-01"
"Sources","D:\Sources","","FRANK-KBASE-01"
"C$","C:\","Default share","FRANK-KSE-SQL"
"IPC$","","Remote IPC","FRANK-KSE-SQL"
"ADMIN$","C:\Windows","Remote Admin","FRANK-KSE-SQL"
"A$","A:\","Default share","FRANK-MBM-901"
"Y$","Y:\","Default share","FRANK-MBM-901"
"W$","W:\","Default share","FRANK-MBM-901"
"V$","V:\","Default share","FRANK-MBM-901"
"U$","U:\","Default share","FRANK-MBM-901"
"T$","T:\","Default share","FRANK-MBM-901"
"S$","S:\","Default share","FRANK-MBM-901"
"R$","R:\","Default share","FRANK-MBM-901"
"Q$","Q:\","Default share","FRANK-MBM-901"
"P$","P:\","Default share","FRANK-MBM-901"
"O$","O:\","Default share","FRANK-MBM-901"
"N$","N:\","Default share","FRANK-MBM-901"
"M$","M:\","Default share","FRANK-MBM-901"
"L$","L:\","Default share","FRANK-MBM-901"
"K$","K:\","Default share","FRANK-MBM-901"
"J$","J:\","Default share","FRANK-MBM-901"
"IPC$","","Remote IPC","FRANK-MBM-901"
"I$","I:\","Default share","FRANK-MBM-901"
"H$","H:\","Default share","FRANK-MBM-901"
"G$","G:\","Default share","FRANK-MBM-901"
"F$","F:\","Default share","FRANK-MBM-901"
"E$","E:\","Default share","FRANK-MBM-901"
"D$","D:\","Default share","FRANK-MBM-901"
"C$","C:\","Default share","FRANK-MBM-901"
"B$","B:\","Default share","FRANK-MBM-901"
"ADMIN$","C:\Windows","Remote Admin","FRANK-MBM-901"
"address","C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\address","","FRANK-MBM-901"
"X$","X:\","Default share","FRANK-MBM-901"
"Z$","Z:\","Default share","FRANK-MBM-901"
"Z$","Z:\","Default share","FRANK-MBM-902"
"address","C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\address","","FRANK-MBM-902"
"Y$","Y:\","Default share","FRANK-MBM-902"
"X$","X:\","Default share","FRANK-MBM-902"
"W$","W:\","Default share","FRANK-MBM-902"
"V$","V:\","Default share","FRANK-MBM-902"
"U$","U:\","Default share","FRANK-MBM-902"
"T$","T:\","Default share","FRANK-MBM-902"
"S$","S:\","Default share","FRANK-MBM-902"
"R$","R:\","Default share","FRANK-MBM-902"
"Q$","Q:\","Default share","FRANK-MBM-902"
"P$","P:\","Default share","FRANK-MBM-902"
"O$","O:\","Default share","FRANK-MBM-902"
"N$","N:\","Default share","FRANK-MBM-902"
"A$","A:\","Default share","FRANK-MBM-902"
"M$","M:\","Default share","FRANK-MBM-902"
"K$","K:\","Default share","FRANK-MBM-902"
"ADMIN$","C:\Windows","Remote Admin","FRANK-MBM-902"
"B$","B:\","Default share","FRANK-MBM-902"
"C$","C:\","Default share","FRANK-MBM-902"
"L$","L:\","Default share","FRANK-MBM-902"
"E$","E:\","Default share","FRANK-MBM-902"
"D$","D:\","Default share","FRANK-MBM-902"
"G$","G:\","Default share","FRANK-MBM-902"
"H$","H:\","Default share","FRANK-MBM-902"
"I$","I:\","Default share","FRANK-MBM-902"
"IPC$","","Remote IPC","FRANK-MBM-902"
"J$","J:\","Default share","FRANK-MBM-902"
"F$","F:\","Default share","FRANK-MBM-902"
"J$","J:\","Default share","FRANK-MBM-911"
"Y$","Y:\","Default share","FRANK-MBM-911"
"X$","X:\","Default share","FRANK-MBM-911"
"IPC$","","Remote IPC","FRANK-MBM-911"
"A$","A:\","Default share","FRANK-MBM-911"
"H$","H:\","Default share","FRANK-MBM-911"
"ADMIN$","C:\Windows","Remote Admin","FRANK-MBM-911"
"B$","B:\","Default share","FRANK-MBM-911"
"C$","C:\","Default share","FRANK-MBM-911"
"address","C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\address","","FRANK-MBM-911"
"E$","E:\","Default share","FRANK-MBM-911"
"F$","F:\","Default share","FRANK-MBM-911"
"G$","G:\","Default share","FRANK-MBM-911"
"D$","D:\","Default share","FRANK-MBM-911"
"I$","I:\","Default share","FRANK-MBM-911"
"P$","P:\","Default share","FRANK-MBM-912"
"C$","C:\","Default share","FRANK-MBM-912"
"IPC$","","Remote IPC","FRANK-MBM-912"
"K$","K:\","Default share","FRANK-MBM-912"
"L$","L:\","Default share","FRANK-MBM-912"
"M$","M:\","Default share","FRANK-MBM-912"
"N$","N:\","Default share","FRANK-MBM-912"
"O$","O:\","Default share","FRANK-MBM-912"
"U$","U:\","Default share","FRANK-MBM-912"
"S$","S:\","Default share","FRANK-MBM-912"
"T$","T:\","Default share","FRANK-MBM-912"
"ADMIN$","C:\Windows","Remote Admin","FRANK-MBM-912"
"V$","V:\","Default share","FRANK-MBM-912"
"W$","W:\","Default share","FRANK-MBM-912"
"X$","X:\","Default share","FRANK-MBM-912"
"Y$","Y:\","Default share","FRANK-MBM-912"
"Z$","Z:\","Default share","FRANK-MBM-912"
"R$","R:\","Default share","FRANK-MBM-912"
"address","C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\address","","FRANK-MBM-912"
"Q$","Q:\","Default share","FRANK-MBM-912"
"address","C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\address","","FRANK-MBM-D35"
"C$","C:\","Default share","FRANK-MBM-D35"
"IPC$","","Remote IPC","FRANK-MBM-D35"
"N$","N:\","Default share","FRANK-MBM-D35"
"X$","X:\","Default share","FRANK-MBM-D35"
"Y$","Y:\","Default share","FRANK-MBM-D35"
"ADMIN$","C:\Windows","Remote Admin","FRANK-MBM-D35"
"IPC$","","Remote IPC","FRANK-MBX"
"ADMIN$","C:\Windows","Remote Admin","FRANK-MBX"
"C$","C:\","Default share","FRANK-MBX"
"address","C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\address","","FRANK-MBX"
"IPC$","","Remote IPC","FRANK-MBX02"
"address","C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\address","","FRANK-MBX02"
"ADMIN$","C:\Windows","Remote Admin","FRANK-MBX02"
"C$","C:\","Default share","FRANK-MBX02"
"share","C:\share","","FRANK-MBX02"
"Cert","C:\Users\peterurgent\Desktop\Cert","","FRANK-MBX02"
"ADMIN$","C:\Windows","Remote Admin","FRANK-MIGR"
"C$","C:\","Default share","FRANK-MIGR"
"IPC$","","Remote IPC","FRANK-MIGR"
"ADMIN$","C:\Windows","Remote Admin","FRANK-OOS-O01"
"C$","C:\","Default share","FRANK-OOS-O01"
"IPC$","","Remote IPC","FRANK-OOS-O01"
"IPC$","","Remote IPC","FRANK-OOS-O02"
"ADMIN$","C:\Windows","Remote Admin","FRANK-OOS-O02"
"C$","C:\","Default share","FRANK-OOS-O02"
"ADMIN$","C:\Windows","Remote Admin","FRANK-PDC"
"C$","C:\","Default share","FRANK-PDC"
"IPC$","","Remote IPC","FRANK-PDC"
"LAPS","C:\LAPS","","FRANK-PDC"
"NETLOGON","C:\Windows\SYSVOL\sysvol\Roaya.loc\SCRIPTS","Logon server share ","FRANK-PDC"
"SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","FRANK-PDC"
"Witness","C:\Witness","","FRANK-PDC"
"NETLOGON","C:\Windows\SYSVOL\sysvol\Roaya.loc\SCRIPTS","Logon server share ","FRANK-RODC-01"
"SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","FRANK-RODC-01"
"ADMIN$","C:\Windows","Remote Admin","FRANK-RODC-01"
"IPC$","","Remote IPC","FRANK-RODC-01"
"C$","C:\","Default share","FRANK-RODC-01"
"address","C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\address","","FRANK-SMT-P01"
"ADMIN$","C:\Windows","Remote Admin","FRANK-SMT-P01"
"IPC$","","Remote IPC","FRANK-SMT-P01"
"C$","C:\","Default share","FRANK-SMT-P01"
"IPC$","","Remote IPC","FRANK-SMT-P02"
"C$","C:\","Default share","FRANK-SMT-P02"
"ADMIN$","C:\Windows","Remote Admin","FRANK-SMT-P02"
"address","C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\address","","FRANK-SMT-P02"
"C$","C:\","Default share","FRANK-SQL2019"
"IPC$","","Remote IPC","FRANK-SQL2019"
"D$","D:\","Default share","FRANK-SQL2019"
"ADMIN$","C:\Windows","Remote Admin","FRANK-SQL2019"
"ADMIN$","C:\Windows","Remote Admin","FRANK-TOOLS01"
"C$","C:\","Default share","FRANK-TOOLS01"
"IPC$","","Remote IPC","FRANK-TOOLS01"
"C$","C:\","Default share","FRANK-WSUS"
"WsusContent","E:\wsus\WsusContent","A network share to be used by Local Publishing to place published content on this WSUS system.","FRANK-WSUS"
"IPC$","","Remote IPC","FRANK-WSUS"
"UpdateServicesPackages","E:\wsus\UpdateServicesPackages","A network share to be used by client systems for collecting all software packages (usually applications) published on this WSUS system.","FRANK-WSUS"
"WSUSTemp","C:\Program Files\Update Services\LogFiles\WSUSTemp","A network share used by Local Publishing from a Remote WSUS Console Instance.","FRANK-WSUS"
"E$","E:\","Default share","FRANK-WSUS"
"ADMIN$","C:\Windows","Remote Admin","FRANK-WSUS"
"Test_DB","E:\Test_DB","","Listener"
"IPC$","","Remote IPC","Listener"
"E$","E:\","Default share","Listener"
"ClusterStorage$","C:\ClusterStorage","Cluster Shared Volumes Default Share","Listener"
"ADMIN$","C:\Windows","Remote Admin","Listener"
"C$","C:\","Default share","Listener"
"IPC$","","Remote IPC","POWEREYE"
"C$","C:\","Default share","POWEREYE"
"ADMIN$","C:\Windows","Remote Admin","POWEREYE"
"IPC$","","Remote IPC","SOLARWIND-SAM"
"E$","E:\","Default share","SOLARWIND-SAM"
"C$","C:\","Default share","SOLARWIND-SAM"
"ADMIN$","C:\Windows","Remote Admin","SOLARWIND-SAM"
"IPC$","","Remote IPC","SQLCluster"
"ADMIN$","C:\Windows","Remote Admin","SQLCluster"
"C$","C:\","Default share","SQLCluster"
"ClusterStorage$","C:\ClusterStorage","Cluster Shared Volumes Default Share","SQLCluster"
"E$","E:\","Default share","SQLCluster"
"Test_DB","E:\Test_DB","","SQLCluster"
"ADMIN$","C:\Windows","Remote Admin","SQL-SOLID1"
"C$","C:\","Default share","SQL-SOLID1"
"E$","E:\","Default share","SQL-SOLID1"
"IPC$","","Remote IPC","SQL-SOLID1"
"IPC$","","Remote IPC","SQL-SOLID2"
"E$","E:\","Default share","SQL-SOLID2"
"Test_DB","E:\Test_DB","","SQL-SOLID2"
"ClusterStorage$","C:\ClusterStorage","Cluster Shared Volumes Default Share","SQL-SOLID2"
"C$","C:\","Default share","SQL-SOLID2"
"ADMIN$","C:\Windows","Remote Admin","SQL-SOLID2"
"NETLOGON","C:\Windows\SYSVOL\sysvol\Roaya.loc\SCRIPTS","Logon server share ","STARC-ADC-03"
"IPC$","","Remote IPC","STARC-ADC-03"
"cortex","C:\cortex","","STARC-ADC-03"
"C$","C:\","Default share","STARC-ADC-03"
"ADMIN$","C:\Windows","Remote Admin","STARC-ADC-03"
"SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","STARC-ADC-03"
"witness-2019","C:\witness-2019","","STRAS-ADC-02"
"NETLOGON","C:\Windows\SYSVOL\sysvol\Roaya.loc\SCRIPTS","Logon server share ","STRAS-ADC-02"
"IPC$","","Remote IPC","STRAS-ADC-02"
"D01.roaya.loc","c:\witness-2013","File share witness created for microsoft exchange database availability group D01.","STRAS-ADC-02"
"SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","STRAS-ADC-02"
"2019.roaya.loc","c:\Witness-2019","File share witness created for microsoft exchange database availability group 2019.","STRAS-ADC-02"
"ADMIN$","C:\Windows","Remote Admin","STRAS-ADC-02"
"C$","C:\","Default share","STRAS-ADC-02"
"X$","X:\","Default share","STRAS-MBM-905"
"IPC$","","Remote IPC","STRAS-MBM-905"
"L$","L:\","Default share","STRAS-MBM-905"
"M$","M:\","Default share","STRAS-MBM-905"
"N$","N:\","Default share","STRAS-MBM-905"
"O$","O:\","Default share","STRAS-MBM-905"
"P$","P:\","Default share","STRAS-MBM-905"
"Q$","Q:\","Default share","STRAS-MBM-905"
"R$","R:\","Default share","STRAS-MBM-905"
"S$","S:\","Default share","STRAS-MBM-905"
"T$","T:\","Default share","STRAS-MBM-905"
"U$","U:\","Default share","STRAS-MBM-905"
"V$","V:\","Default share","STRAS-MBM-905"
"C$","C:\","Default share","STRAS-MBM-905"
"ADMIN$","C:\Windows","Remote Admin","STRAS-MBM-905"
"Y$","Y:\","Default share","STRAS-MBM-905"
"address","C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\address","","STRAS-MBM-905"
"IPC$","","Remote IPC","STRAS-SOLID3"
"E$","E:\","Default share","STRAS-SOLID3"
"C$","C:\","Default share","STRAS-SOLID3"
"ADMIN$","C:\Windows","Remote Admin","STRAS-SOLID3"
"IPC$","","Remote IPC","WIN-BQ77413NKFI"
"C$","C:\","Default share","WIN-BQ77413NKFI"
"ADMIN$","C:\Windows","Remote Admin","WIN-BQ77413NKFI"
"CertEnroll","C:\Windows\system32\CertSrv\CertEnroll","Active Directory Certificate Services share","WP-ROOTCA"
"C$","C:\","Default share","WP-ROOTCA"
"ADMIN$","C:\Windows","Remote Admin","WP-ROOTCA"
"IPC$","","Remote IPC","WP-ROOTCA"
"ADMIN$","C:\Windows","Remote Admin","WP-SYSLOG"
"IPC$","","Remote IPC","WP-SYSLOG"
"D$","D:\","Default share","WP-SYSLOG"
"C$","C:\","Default share","WP-SYSLOG"
